GRB Name	Obs_ID	z	1+z	T90_raw(s)	T90_raw_error	T50_raw(s)	T50_raw_error	E1_obsframe(KeV)	E2_obsframe(KeV)	T90_(s)	T90_error	T50_(s)	T50_error
180728A	850471	0.117	1.117	8.688	0.321	2.464	0.035	125.33	313.34	5.28	2.197	1.824	0.23
60614	214805	0.127	1.138	109.264	3.415	43.296	0.79	123.02	307.56	18.32	4.113	11.344	6.051
150727A	650530	0.313	1.313	86.128	12.748	30.192	3.624	106.63	266.57	23.904	4.388	14.976	6.15
130427A	554620	0.340	1.34	316.272	7.63	32.064	1.296	104.48	261.19	128.336	4.859	4.016	0.079
61021	234905	0.346	1.3463	46.448	5.2	10.24	1.125	103.99	259.97	4.928	0.861	2.128	0.714
130925A	571830	0.347	1.347	456.752	42.832	130.096	2.671	103.93	259.84	123.136	44.636	54.112	27.817
130603B	557310	0.356	1.356	0.192	0.032	0.048	0.016	103.24	258.11	0.064	0.035	0.032	0.016
50803	148833	0.422	1.422	88.176	9.982	39.392	6.757	98.45	246.13	27.632	7.789	6.224	9.507
130831A	568849	0.479	1.4791	32.512	1.689	8.032	0.726	94.65	236.63	21.968	6.399	5.408	2.68
91127	377179	0.490	1.49	8.24	0.69	5.584	0.534	93.96	234.90	2.032	0.486	1.12	0.252
90618	355083	0.540	1.54	113.536	0.585	27.952	0.157	90.91	227.27	105.904	1.841	21.456	0.555
100621A	425151	0.542	1.542	65.28	1.8	25.76	0.774	90.79	226.98	35.488	2.588	16.976	1.746
90424	350311	0.544	1.544	49.744	2.32	3.376	0.057	90.67	226.68	4.16	0.192	2.896	0.115
051221A	173780	0.547	1.547	1.392	0.21	0.544	0.097	90.50	226.24	0.224	0.102	0.08	0.05
70521	279935	0.553	1.553	38.832	2.31	14.592	0.307	90.15	225.37	31.68	1.674	7.936	3.661
170607A	756284	0.557	1.557	269.808	43.921	215.632	1.009	89.92	224.79	11.936	2.638	5.68	1.424
141004A	614390	0.570	1.57	3.904	1.091	1.12	0.178	89.17	222.93	0.416	0.08	0.224	0.09
150323A	635887	0.593	1.593	149.12	6.815	12.928	1.264	87.88	219.71	13.84	1.687	7.808	1.165
050525A	130088	0.606	1.606	8.832	0.081	5.232	0.0226	87.17	217.93	6.784	0.136	4.608	0.086
161129A	724438	0.645	1.645	35.376	2.128	14.656	2.572	85.10	212.77	32.512	5.204	14.48	5.299
180720B	848890	0.654	1.654	130.864	10.726	23.488	1.649	84.64	211.61	49.12	10.04	14.304	2.846
080916A	324895	0.689	1.689	60.368	6.296	23.136	1.002	82.89	207.22	30.064	5.38	12.832	2.922
060904B	228006	0.703	1.703	171.504	11.59	32.512	4.59	82.21	205.52	3.408	0.543	1.84	0.498
111228A	510649	0.714	1.714	100.352	5.475	46.768	0.78	81.68	204.20	48.4	29.393	4.784	37.291
131004A	573190	0.717	1.717	1.12	0.172	0.432	0.065	81.54	203.84	0.832	0.222	0.368	0.244
101219A	440606	0.718	1.718	0.832	0.192	0.416	0.035	81.49	203.73	0.528	0.071	0.304	0.086
140512A	598819	0.725	1.725	156.4	4.609	90.08	25.051	81.16	202.90	149.616	13.693	73.52	43.51
160804A	707231	0.736	1.736	153.168	16.881	50.784	2.622	80.65	201.61	46.528	6.453	18.56	4.806
80430	310613	0.760	1.76	16.08	2.475	5.328	0.551	79.55	198.86	9.92	2.294	5.68	2.302
170714A	762535	0.793	1.793	397.984	39.658	240.352	48.829	78.08	195.20	0.32	0.124	0.16	0.124
120729A	529095	0.800	1.8	71.44	16.659	22.224	2.455	77.78	194.44	64	10.44	29.728	13.899
100816A	431764	0.804	1.8035	2.56	0.531	1.008	0.057	77.63	194.07	1.792	0.172	0.896	0.124
151027A	661775	0.810	1.81	128.88	5.924	96.352	8.243	77.35	193.37	124.048	17.66	109.04	16.476
110715A	457330	0.820	1.82	7.696	3.712	1.584	0.045	76.92	192.31	2.976	0.215	1.328	0.086
70508	278854	0.820	1.82	20.736	0.731	7.568	0.147	76.92	192.31	14.768	1.376	6.592	0.147
61217	251634	0.827	1.827	0.24	0.067	0.096	0.057	76.63	191.57	0.224	0.045	0.144	0.071
